검색조건
대출기간,2023-05-01 ~ 2023-05-19
성별,남성
연령,40대
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2023-05-20
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"152","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","1","9788937838750","74830","833.6","84",
"152","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","2","9791190409131","74810","813.7","84",
"152","설민석의 세계사 대모험 15 - 몽골 편 : 칭기즈 칸의 꿈","설민석, 김정욱 (지은이), 박성일 (그림), 김장구 (감수)","단꿈아이","2022","15","9791191496888","","","84",
"155","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","44800","813.7","83",
"155","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","24","9788950900236","74900","980.2","83",
"155","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2022","13","9788950941970","74810","813.7","83",
"155","그리스 로마 신화","글: 박시연 ;그림: 최우빈","북이십일","2017","30","9788950971656","74800","219","83",
"155","(정재승의) 인간 탐구 보고서","글: 정재은,그림: 김현민","북이십일","2019","1","9788950983079","74400","511","83",
"155","추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건","트롤","아이세움","2017","5","9791162332542","74830","833.8","83",
"155","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","2","9791164135158","74810","816.7","83",
"155","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","3","9791164138715","77810","691","83",
"155","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","17","9791168122369","67400","408","83",
"164","내 멋대로 선생님 뽑기 ","최은옥 글 ;김무연 그림","김영사","2022","","9788934974369","73810","813.7","82",
